GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stream-validator,com.marketdata.validator.session,SessionReplayer.ReplayProgress,0,15,0,0,0,1,0,1,0,1
stream-validator,com.marketdata.validator.session,SessionReplayer.State,0,33,0,0,0,1,0,1,0,1
stream-validator,com.marketdata.validator.session,SessionExporter,8,156,4,6,0,25,4,4,0,3
stream-validator,com.marketdata.validator.session,SessionRecorder,12,394,6,20,3,94,6,21,0,14
stream-validator,com.marketdata.validator.session,SessionReplayer,76,344,12,42,17,90,8,38,1,18
stream-validator,com.marketdata.validator.session,SessionReplayer.ReplayException,0,17,0,0,0,6,0,3,0,3
stream-validator,com.marketdata.validator.feed,FeedManager,314,352,36,22,68,90,32,29,8,23
stream-validator,com.marketdata.validator.feed,FinnhubAdapter,16,222,7,19,6,45,7,16,0,10
stream-validator,com.marketdata.validator.feed,GenericAdapter,0,265,0,22,0,52,0,20,0,9
stream-validator,com.marketdata.validator.feed,BinanceAdapter,0,168,1,7,0,35,1,13,0,10
stream-validator,com.marketdata.validator.feed,FeedConnection,198,372,16,24,58,88,17,28,6,19
stream-validator,com.marketdata.validator.validator,StatefulValidator,20,696,21,79,5,128,21,46,0,17
stream-validator,com.marketdata.validator.validator,BackpressureQueue,31,255,1,13,5,66,1,20,0,14
stream-validator,com.marketdata.validator.validator,ValidatorEngine,54,653,8,40,15,143,13,55,7,37
stream-validator,com.marketdata.validator.validator,OrderingValidator,3,398,5,29,1,72,5,24,0,12
stream-validator,com.marketdata.validator.validator,SubscriptionValidator,0,601,2,52,0,121,2,42,0,17
stream-validator,com.marketdata.validator.validator,StatefulValidator.StateViolation,0,32,0,0,0,6,0,2,0,2
stream-validator,com.marketdata.validator.validator,ThroughputValidator,1,498,1,39,0,107,1,35,0,16
stream-validator,com.marketdata.validator.validator,FieldCompletenessValidator,0,132,0,14,0,31,0,13,0,6
stream-validator,com.marketdata.validator.validator,AlertGenerator,0,196,1,11,0,44,1,11,0,6
stream-validator,com.marketdata.validator.validator,StatefulValidator.SymbolState,0,15,0,0,0,5,0,1,0,1
stream-validator,com.marketdata.validator.validator,BackpressureQueue.DropPolicy,0,15,0,0,0,1,0,1,0,1
stream-validator,com.marketdata.validator.validator,AccuracyValidator,7,513,6,44,1,94,6,31,0,12
stream-validator,com.marketdata.validator.validator,SourceValidator,0,424,5,27,0,81,5,19,0,8
stream-validator,com.marketdata.validator.validator,CompletenessValidator,4,469,2,30,1,82,3,26,1,12
stream-validator,com.marketdata.validator.validator,LatencyValidator,7,590,3,31,1,118,3,30,0,16
stream-validator,com.marketdata.validator.validator,ReconnectionValidator,2,315,4,16,0,62,4,22,0,16
stream-validator,com.marketdata.validator.model,Connection,0,109,0,0,0,41,0,21,0,21
stream-validator,com.marketdata.validator.model,Connection.Status,0,27,0,0,0,2,0,1,0,1
stream-validator,com.marketdata.validator.model,Tick,1,175,1,7,0,64,1,38,0,35
stream-validator,com.marketdata.validator.model,Session,0,80,0,0,0,34,0,18,0,18
stream-validator,com.marketdata.validator.model,ValidationResult,0,105,0,0,0,35,0,19,0,19
stream-validator,com.marketdata.validator.model,Alert.Severity,0,21,0,0,0,1,0,1,0,1
stream-validator,com.marketdata.validator.model,Session.Status,0,21,0,0,0,2,0,1,0,1
stream-validator,com.marketdata.validator.model,Alert,0,60,0,0,0,20,0,14,0,14
stream-validator,com.marketdata.validator.model,ValidationResult.Status,0,21,0,0,0,2,0,1,0,1
stream-validator,com.marketdata.validator.model,Connection.AdapterType,0,27,0,0,0,2,0,1,0,1
stream-validator,com.marketdata.validator.model,ValidationResult.Area,0,57,0,0,0,10,0,1,0,1
stream-validator,com.marketdata.validator.model,LatencyStats,0,96,0,0,0,40,0,20,0,20
stream-validator,com.marketdata.validator.store,SessionStore,1,225,2,4,0,44,2,12,0,11
stream-validator,com.marketdata.validator.store,AlertStore,5,269,4,14,0,51,4,23,0,18
stream-validator,com.marketdata.validator.store,ConnectionStore,199,15,12,0,38,5,14,3,8,3
stream-validator,com.marketdata.validator.store,TickStore,11,329,5,17,0,51,5,16,0,10
stream-validator,com.marketdata.validator.controller,CompareController,4,776,7,31,0,155,7,29,0,17
stream-validator,com.marketdata.validator.controller,MetricsController,0,210,0,6,0,35,0,6,0,3
stream-validator,com.marketdata.validator.controller,ValidationController,34,140,5,19,7,38,5,15,2,6
stream-validator,com.marketdata.validator.controller,FeedController,41,323,18,56,14,92,16,31,0,10
stream-validator,com.marketdata.validator.controller,SessionController,0,348,3,25,0,79,3,20,0,9
stream-validator,com.marketdata.validator.controller,SimulatorController,4,159,1,7,0,37,1,8,0,5
stream-validator,com.marketdata.validator.controller,AlertController,0,58,0,4,0,18,0,10,0,8
stream-validator,com.marketdata.validator.controller,ComplianceController,15,223,8,30,2,42,8,19,0,8
stream-validator,com.marketdata.validator.controller,StreamController,421,377,35,23,103,98,32,24,10,17
stream-validator,com.marketdata.validator.config,ValidatorProperties.Completeness,0,13,0,0,0,4,0,3,0,3
stream-validator,com.marketdata.validator.config,ValidatorProperties,0,51,0,0,0,13,0,9,0,9
stream-validator,com.marketdata.validator.config,SqliteConfig,0,118,1,5,0,25,1,7,0,5
stream-validator,com.marketdata.validator.config,ValidatorProperties.Latency,0,13,0,0,0,4,0,3,0,3
stream-validator,com.marketdata.validator.config,ValidatorProperties.Throughput,0,13,0,0,0,4,0,3,0,3
stream-validator,com.marketdata.validator.config,ValidatorProperties.Accuracy,0,13,0,0,0,4,0,3,0,3
stream-validator,com.marketdata.validator.config,ValidatorStartupConfigurer,0,83,0,0,0,18,0,4,0,4
stream-validator,com.marketdata.validator.simulator,ScenarioEngine,1,91,1,11,1,23,1,10,0,4
stream-validator,com.marketdata.validator.simulator,ScenarioConfig,7,95,0,0,2,25,2,17,2,17
stream-validator,com.marketdata.validator.simulator,LVWRChaosSimulator,72,1111,11,57,12,201,9,50,0,21
stream-validator,com.marketdata.validator.simulator,FailureType,0,98,0,0,0,17,0,3,0,3
stream-validator,com.marketdata.validator.simulator,LVWRChaosSimulator.InstrumentState,16,97,1,1,4,21,4,9,3,9
stream-validator,com.marketdata.validator.simulator,SimulatorMode,0,27,0,0,0,5,0,1,0,1
stream-validator,com.marketdata.validator.simulator,LVWRSimulatorAdapter,16,97,4,2,4,31,6,5,4,4
stream-validator,com.marketdata.validator,StreamValidatorApplication,5,3,0,0,2,1,1,1,1,1
